Date,Open,High,Low,Close,Adj Close,Volume
2019-06-24,1700.000000,1729.500000,1675.050049,1712.250000,1682.686768,127475
2019-06-25,1709.750000,1734.750000,1702.050049,1722.650024,1692.907227,119544
2019-06-26,1725.000000,1806.300049,1707.000000,1792.050049,1761.109009,350833
2019-06-27,1791.000000,1850.000000,1774.150024,1818.250000,1786.856567,275899
2019-06-28,1828.000000,1849.949951,1787.500000,1829.449951,1797.863159,363190
2019-07-01,1835.050049,1856.000000,1818.000000,1841.250000,1809.459473,155746
2019-07-02,1850.000000,1851.000000,1746.699951,1764.699951,1734.231079,210612
2019-07-03,1770.050049,1782.599976,1730.000000,1735.199951,1705.240356,123502
2019-07-04,1710.000000,1718.000000,1650.000000,1655.800049,1627.211426,517876
2019-07-05,1658.750000,1685.900024,1632.000000,1665.699951,1636.940430,182866
2019-07-08,1652.199951,1672.750000,1602.000000,1632.000000,1603.822388,214031
2019-07-09,1630.099976,1639.550049,1595.050049,1600.650024,1573.013672,143205
2019-07-10,1605.000000,1606.000000,1564.050049,1590.949951,1563.481079,250106
2019-07-11,1589.000000,1590.000000,1565.000000,1573.599976,1561.645142,76611
2019-07-12,1570.199951,1608.699951,1570.199951,1600.750000,1588.588867,93224
2019-07-15,1610.000000,1615.949951,1582.000000,1590.849976,1578.764038,84918
2019-07-16,1600.000000,1654.300049,1590.000000,1648.500000,1635.976074,154849
2019-07-17,1648.000000,1671.900024,1610.050049,1618.599976,1606.303223,115374
2019-07-18,1618.949951,1638.500000,1573.250000,1576.250000,1564.275024,138663
2019-07-19,1569.900024,1569.900024,1495.000000,1516.000000,1504.482666,239097
2019-07-22,1499.949951,1499.949951,1435.800049,1478.699951,1467.466064,430488
2019-07-23,1470.099976,1487.349976,1462.750000,1470.949951,1459.774902,87885
2019-07-24,1475.000000,1550.000000,1445.000000,1537.199951,1525.521606,194680
2019-07-25,1545.000000,1564.500000,1476.000000,1526.949951,1515.349487,186296
2019-07-26,1527.000000,1529.550049,1485.300049,1497.500000,1486.123291,100016
2019-07-29,1500.000000,1539.250000,1481.250000,1524.599976,1513.017334,151395
2019-07-30,1518.000000,1539.900024,1497.500000,1511.150024,1499.669556,141195
2019-07-31,1510.000000,1517.500000,1483.000000,1513.599976,1502.100952,104248
2019-08-01,1509.900024,1519.949951,1494.099976,1507.150024,1495.699951,66424
2019-08-02,1507.000000,1522.000000,1496.900024,1514.949951,1503.440674,66649
2019-08-05,1519.550049,1545.000000,1490.699951,1539.550049,1527.853882,54654
2019-08-06,1542.150024,1594.000000,1542.150024,1579.199951,1567.202515,109913
2019-08-07,1571.000000,1622.000000,1570.949951,1600.349976,1588.191895,109531
2019-08-08,1605.000000,1629.000000,1589.599976,1623.300049,1610.967651,49320
2019-08-09,1625.000000,1678.500000,1577.349976,1635.550049,1623.124512,156454
2019-08-13,1640.000000,1642.400024,1568.050049,1583.650024,1571.618774,74400
2019-08-14,1597.349976,1632.250000,1581.449951,1626.349976,1613.994385,87009
2019-08-16,1629.900024,1638.900024,1578.449951,1580.849976,1568.839966,119751
2019-08-19,1586.099976,1615.000000,1576.050049,1593.550049,1581.443604,53479
2019-08-20,1610.000000,1630.000000,1595.000000,1614.800049,1602.532227,141266
2019-08-21,1619.000000,1623.599976,1591.000000,1598.949951,1586.802490,36712
2019-08-22,1607.050049,1618.500000,1587.349976,1597.900024,1585.760498,72205
2019-08-23,1598.750000,1609.000000,1586.050049,1600.300049,1588.142334,66674
2019-08-26,1616.000000,1619.949951,1591.550049,1610.800049,1598.562622,34774
2019-08-27,1615.000000,1652.000000,1594.449951,1643.550049,1631.063721,128273
2019-08-28,1645.000000,1657.000000,1631.000000,1639.849976,1627.391846,36775
2019-08-29,1640.000000,1654.849976,1625.000000,1631.500000,1619.105225,24418
2019-08-30,1642.750000,1642.750000,1621.000000,1626.449951,1614.093628,24902
2019-09-03,1624.550049,1637.000000,1597.000000,1609.150024,1596.925049,40152
2019-09-04,1611.050049,1666.550049,1606.449951,1647.050049,1634.537109,65509
2019-09-05,1650.000000,1672.000000,1617.199951,1665.550049,1652.896606,55845
2019-09-06,1667.150024,1697.900024,1666.150024,1693.849976,1680.981567,83138
2019-09-09,1695.000000,1695.000000,1669.199951,1675.599976,1662.870239,52856
2019-09-11,1674.000000,1675.000000,1632.099976,1638.400024,1625.952881,62379
2019-09-12,1640.000000,1645.000000,1600.000000,1606.800049,1594.592896,57113
2019-09-13,1600.150024,1612.000000,1579.000000,1606.849976,1594.642456,49866
2019-09-16,1604.900024,1639.900024,1590.000000,1602.400024,1590.226318,76395
2019-09-17,1609.750000,1632.000000,1597.800049,1626.800049,1614.441040,110192
2019-09-18,1627.900024,1627.900024,1581.099976,1585.699951,1573.653198,80932
2019-09-19,1596.900024,1596.900024,1551.199951,1557.099976,1545.270508,45643
2019-09-20,1567.900024,1568.500000,1522.000000,1525.349976,1513.761719,332121
2019-09-23,1545.000000,1548.000000,1467.050049,1470.099976,1458.931396,447204
2019-09-24,1490.000000,1505.000000,1474.000000,1477.099976,1465.878174,226168
2019-09-25,1485.900024,1515.000000,1465.000000,1494.150024,1482.798706,444863
2019-09-26,1506.150024,1514.949951,1500.000000,1508.250000,1496.791626,60005
2019-09-27,1508.300049,1526.050049,1505.000000,1520.500000,1508.948486,75207
2019-09-30,1520.000000,1527.000000,1505.000000,1511.250000,1499.768799,42794
2019-10-01,1516.650024,1523.000000,1487.050049,1505.550049,1494.112183,113108
2019-10-03,1500.000000,1514.099976,1487.750000,1505.050049,1493.615967,45916
2019-10-04,1512.650024,1520.000000,1501.500000,1507.949951,1496.493774,165483
2019-10-07,1501.500000,1518.000000,1470.050049,1479.949951,1468.706543,52064
2019-10-09,1489.800049,1503.000000,1461.000000,1500.099976,1488.703491,62137
2019-10-10,1500.000000,1500.099976,1470.000000,1473.849976,1462.652954,80469
2019-10-11,1468.000000,1490.000000,1463.000000,1476.400024,1465.183594,47682
2019-10-14,1480.449951,1493.800049,1471.099976,1482.000000,1470.740967,69262
2019-10-15,1485.099976,1499.000000,1475.000000,1491.650024,1480.317749,46091
2019-10-16,1494.050049,1535.550049,1494.050049,1528.199951,1516.589966,145994
2019-10-17,1535.099976,1539.000000,1494.900024,1499.150024,1487.760742,119671
2019-10-18,1535.000000,1634.000000,1535.000000,1610.599976,1598.364014,659006
2019-10-22,1612.500000,1635.000000,1596.550049,1610.750000,1598.512939,248091
2019-10-23,1619.750000,1650.000000,1612.150024,1645.349976,1632.849976,163985
2019-10-24,1640.000000,1669.699951,1640.000000,1659.199951,1659.199951,133539
2019-10-25,1664.000000,1679.949951,1644.449951,1673.099976,1673.099976,77683
2019-10-27,null,null,null,null,null,null
2019-10-29,1663.000000,1707.000000,1654.400024,1697.949951,1697.949951,158964
2019-10-30,1697.949951,1713.900024,1667.000000,1696.500000,1696.500000,106118
2019-10-31,1700.000000,1730.000000,1695.000000,1721.849976,1721.849976,153223
2019-11-01,1705.000000,1717.000000,1677.000000,1684.500000,1684.500000,158080
2019-11-04,1687.000000,1704.000000,1651.000000,1659.300049,1659.300049,31372
2019-11-05,1661.000000,1673.000000,1661.000000,1667.349976,1667.349976,59607
2019-11-06,1661.000000,1661.000000,1638.699951,1645.150024,1645.150024,29011
2019-11-07,1646.000000,1680.000000,1637.199951,1668.000000,1668.000000,104712
2019-11-08,1674.800049,1674.800049,1650.000000,1652.599976,1652.599976,31375
2019-11-11,1651.000000,1655.949951,1624.250000,1629.400024,1629.400024,33319
2019-11-13,1629.500000,1664.000000,1629.500000,1650.050049,1650.050049,104204
2019-11-14,1650.000000,1660.050049,1610.000000,1630.400024,1630.400024,95036
2019-11-15,1645.000000,1699.000000,1636.150024,1690.800049,1690.800049,106475
2019-11-18,1695.250000,1714.900024,1688.000000,1706.099976,1706.099976,149889
